ID,Text,# Id,Subject,Object,Predicate,Lexical cue,DeviceID,Supp
P060035_S000,"proval for the architect core-m reagent kitarchitect core-m calibrators andarchitect core-m controls.  The devices is indicted for: the architect core-m assay is a chemiluminescent microparticle immunoassay (cmia) for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult and pediatric serum or plasma (dipotassium edta, lithium heparin, and sodium heparin) and neonatal serum. a test for igm anti-hbc is indicated as an aid in the diagnosis of acute or recent hepatitis b virus (hbv) infection in conjunction with other laboratory results and clinical information.  The architect core-m calibrators are used for the calibration of the architect i system when the system is used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) using the architect core-m reagent kit. the performance of the architect core-m calibrators has not been established with any other igm anti-hbc assays. the architect core-m controls are used for monitoring the performance of the architect i system when used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult serum and plasma when using the architect core-m reagent kit. the performance of the architect core-m controls has not been established with any other igm anti-hbc assa",T2,1173-1178,age_category,denotes,adults,P060035,S000
P060035_S000,"proval for the architect core-m reagent kitarchitect core-m calibrators andarchitect core-m controls.  The devices is indicted for: the architect core-m assay is a chemiluminescent microparticle immunoassay (cmia) for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult and pediatric serum or plasma (dipotassium edta, lithium heparin, and sodium heparin) and neonatal serum. a test for igm anti-hbc is indicated as an aid in the diagnosis of acute or recent hepatitis b virus (hbv) infection in conjunction with other laboratory results and clinical information.  The architect core-m calibrators are used for the calibration of the architect i system when the system is used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) using the architect core-m reagent kit. the performance of the architect core-m calibrators has not been established with any other igm anti-hbc assays. the architect core-m controls are used for monitoring the performance of the architect i system when used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult serum and plasma when using the architect core-m reagent kit. the performance of the architect core-m controls has not been established with any other igm anti-hbc assa",T1,314-319,age_category,denotes,adults,P060035,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T28,981-1021,age_range,denotes,up to 8 years,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T27,434-474,age_range,denotes,up to 8 years,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T25,443-448,age_start,denotes,0,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T26,990-995,age_start,denotes,0,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T24,1205-1210,age_category,denotes,adults,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T23,657-662,age_category,denotes,adults,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T22,909-915,age_category,denotes,adults,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T21,366-372,age_category,denotes,adults,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T20,1016-1021,age_end_unit,denotes,years,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T19,1014-1015,age_end,denotes,8,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T18,467-468,age_end,denotes,8,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T17,469-474,age_end_unit,denotes,years,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T16,981-989,age_category,denotes,children,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T15,434-442,age_category,denotes,children,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T14,969-976,age_category,denotes,infants,P160029,S000
P160029_S000,"proval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads. The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pa",T13,422-429,age_category,denotes,infants,P160029,S000
P990052_S019,"proval for a minor software change to the currently approved symfit module and is indicated for adults, 18 years of age or older, who have a moderate to severe sensorineural hearing loss.  Prior to receiving the device, it is recommended that an individual have experience with appropriately fit hearing ai",T3,125-130,age_end,denotes,older,P990052,S019
P990052_S019,"proval for a minor software change to the currently approved symfit module and is indicated for adults, 18 years of age or older, who have a moderate to severe sensorineural hearing loss.  Prior to receiving the device, it is recommended that an individual have experience with appropriately fit hearing ai",T4,109-114,age_start_unit,denotes,years,P990052,S019
P990052_S019,"proval for a minor software change to the currently approved symfit module and is indicated for adults, 18 years of age or older, who have a moderate to severe sensorineural hearing loss.  Prior to receiving the device, it is recommended that an individual have experience with appropriately fit hearing ai",T5,106-108,age_start,denotes,18,P990052,S019
P990052_S019,"proval for a minor software change to the currently approved symfit module and is indicated for adults, 18 years of age or older, who have a moderate to severe sensorineural hearing loss.  Prior to receiving the device, it is recommended that an individual have experience with appropriately fit hearing ai",T2,106-130,age_range,denotes,18 years of age or older,P990052,S019
P990052_S019,"proval for a minor software change to the currently approved symfit module and is indicated for adults, 18 years of age or older, who have a moderate to severe sensorineural hearing loss.  Prior to receiving the device, it is recommended that an individual have experience with appropriately fit hearing ai",T1,98-104,age_category,denotes,adults,P990052,S019
P990056_S000,"proval for the elecsys(r) total psa immunoassay and elecsys(r) total psa calset.  The device, a quantitative in vitro diagnostic test for total prostate-specific antigen (tpsa) in human serum and plasma is indicated for the measurement of total psa in conjunction with dogota; rectal exam (dre) as an aid in the detection of prostate cancer in men aged 50 years or older.  Prostate biopsy is required for the diagnosis of prostate cancer.  The test id further indicated for serial measurement of tpsa to aid in the management of prostate cancer patients.  The electochemiluminescence immunoassay ""eclia"" is intended for use on the roche elecsys(r) 1010 and 2010 immunoassay analyze",T4,367-372,age_end,denotes,older,P990056,S000
