pma_number,supplement_number,applicant,street_1,street_2,city,state,zip,zip_ext,generic_name,trade_name,product_code,advisory_committee,advisory_committee_description,supplement_type,supplement_reason,expedited_review_flag,date_received,decision_date,docket_number,fed_reg_notice_date,decision_code,ao_statement,device_name,medical_specialty_description,regulation_number,device_class
P930016,S012,"AMO Manufacturing USA, LLC",510 Cottonwood Drive,,Milpitas,CA,95035,,Excimer laser system,VISX STAR EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,Y,2000-07-14,2001-04-27,01M-0305,2001-07-23,APPR,"APPROVAL FOR THE VISX STAR S2 AND S3 EXCIMER LASER SYSTEMS.  THE DEVICES ARE INDICATED FOR LASER IN-SITU KERATOMILEUSIS (LASIK) TREATMENTS:  1) IN PATIENTS WITH DOCUMENTED EVIDENCE OF A CHANGE IN MANIFEST REFRACTION OF NO MORE THAN 0.5 D (IN BOTH CYLINDER AND SPHERE COMPONENTS) FOR AT LEAST ONE YEAR PRIOR TO THE DATE OF PRE-OPERATIVE  EXAMINATION; AND  2) IN PATIENTS 21 YEARS OF AGE OR OLDER IN TREATMENTS FOR THE REDUCTION OF ELIMINATION OF NATURALLY OCCURRING HYPEROPIA BETWEEN +05 AND +5.0 D SPHERE AT THE SPECTACLE PLANE WITH OR WITHOUT REFRACTIVE ASTIGMATISM UP TO +3.0 D, WITH A MAXIMUM MANIFEST REFRACTION SPHERICAL EQUIVALENT (MRSE) OF +6.0 D.",Excimer Laser System,Unknown,,3
P990052,S002,Med-el Elektromedizinische Gerate GmbH,FUERSTENWEG 77A,A-6020,"INNSBRUCK, TIROL",,,,"Implant, hearing, active, middle ear, partially implanted",VIBRANT D SOUNDBRIDGE SYSTEM,MPV,EN,"Ear, Nose, Throat",Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2000-11-03,2001-01-03,,,APPR,"APPROVAL FOR THE INCORPORATION OF AN ALTERNATE SOURCE SUPPLIER'S SIGNAL PROCESSING CIRCUIT INTO THE AUDIO PROCESSOR(TM) D (MODEL 404).  THE DEVICE IS INDICATED FOR ADULTS, 18 YEARS OF AGE OR OLDER, WHO HAVE A MODERATE TO SEVERE SENSORINEURAL HEARING LOSS AND DESIRE AN ALTERNATIVE TO AN ACOUSTIC HEARING AID.  PRIOR TO RECEIVING THE DEVICE, IT IS RECOMMENDED THAT AN INDIVIDUAL HAVE EXPERIENCE WITH APPROPRIATELY FIT HEARING AIDS.","Implant, Hearing, Active, Middle Ear, Partially Implanted",Unknown,,3
P970053,S009,"NIDEK CO., LTD.","34-14 MAEHAMA, HIROISHI-CHO",,"GAMAGORI, AICHI",,443-0,0038,Excimer laser system,NIDEK EC-5000 EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2005-11-23,2006-10-11,06M-0460,2006-11-14,APPR,"APPROVAL FOR THE NIDEK EC-5000 EXCIMER LASER SYSTEM.  THE DEVICE USES A 6.0 MM OPTICAL ZONE AND A 9.0 MM TREATMENT ZONE AND IS INDICATED FOR LASER ASSISTED IN-SITU KERATOMILEUSIS (LASIK):  1) FOR THE REDUCTION OR ELIMINATION OF HYPEROPIA REFRACTIVE ERRORS FROM +0.5 TO +5.0 D OF SPHERE WITH OR WITHOUT ASTIGMATIC REFRACTIVE ERRORS FROM +0.5 TO +2.0 D AT THE SPECTACLE PLANE WITH MANIFEST REFRACTION SPHERICAL EQUIVALENT (MRSE) OF +5.0 D OR LESS;  2) IN PATIENTS 21 YEARS OF AGE OR OLDER; AND  3) IN PATIENTS WITH DOCUMENTED STABILITY OF MANIFEST REFRACTION OVER THE PRIOR YEAR, DEMONSTRATED BY A CHANGE IN MRSE NOT GREATER THAN +/- 0.50 DIOPTER.",Excimer Laser System,Unknown,,3
P000027,,ROCHE DIAGNOSTICS CORP.,9115 HAGUE RD.,,INDIANAPOLIS,IN,46250,,PROSTATE-SPECIFIC ANTIGEN (PSA) FOR MANAGEMENT OF PROSTATE CANCERS,ELECSYS FREE PSA IMMUNOASSAY/CALSET/CALCHECK,LTJ,IM,Immunology,,,N,2000-07-07,2000-12-12,00M-1683,2001-01-03,APPR,"APPROVAL FOR THE ELECSYS(R) FREE PSA IMMUNOASSAY FOR ELECSYS 1010 AND 2010 IMMUNOASSAY ANALYZERS.  THE DEVICE IS INDICATED FOR: THE IN VITRO QUANTITATIVE DETERMINATION OF FREE PROSTATE-SPECIFIC ANTIGEN IN HUMAN SERUM AND PLASMA.  THE ELECSYS FREE PSA IMMUNOASSAY IS INDICATED FOR MEASUREMENT OF FPSA IN CONJUNCTION WITH THE ELECSYS TOTAL PSA ASSAY TO DEVELOP A RATIO (% FPSA) OF FPSA TO TPSA.  THIS RATIO IS USEFUL WHEN USED IN CONJUNCTION WITH THE ELECSYS TOTAL PSA TEST AS AN AID IN DISTINGUISHING PROSTATE CANCER FROM BENIGN PROSTATIC CONDITIOND IN MEN AGE 50 YEARS OR OLDER WHO HAVE A DIGITAL RECTOAL EXAMINATION (DRE) THAT IS NOT SUSPICIOUS FOR PROSTATE CANCER AND AN ELECSYS TOTAL PSA VALUE IN THE RANGE 4 NG/ML TO 10 NG/ML.  PROSTATE BIOPSY IS REQUIRED FOR THE DIAGNOSIS OF PROSTATE CANCER.  THE ELECTROCHEMILUMINESCENE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE ROCHE ELECSYS 1010 AND 2010 IMMUNOASSAY ANALYZERS.",Prostate-Specific Antigen (Psa) For Management Of Prostate Cancers,Immunology,866.6010,2
P990013,,STARR SURGICAL CO.,1911 WALKER AVE.,,MONROVIA,CA,91016,,intraocular lens,COLLAMER ULTRAVIOLET ABSORBING POSTERIOR CHAMBER INTRAOCULAR LENS,HQL,OP,Ophthalmic,,,N,1999-03-05,2000-04-02,00M-1230,,APPR,This device is indicated for the correction of aphakia in persons 60 years of age or older in whom a cataractous lens has been removed by phacoemulsification cataract extraction.  The lens is to be implanted in the posterior chamber and in the capsular bag through a tear-free capsulorhexis (circular tear anterior capsulotomy).,Intraocular Lens,Ophthalmic,886.3600,3
P960058,,ADVANCED BIONICS,28515 WESTINGHOUSE PLACE,,VALENCIA,CA,91355,,"Implant, cochlear",CLARION MULTI-STRATEGY COCHLEAR IMPLANT,MCM,EN,"Ear, Nose, Throat",,,N,1996-12-30,1997-06-26,97M-0396,1997-09-23,APPR,"APPROVAL FOR THE CLARION MULTI-STRATEGY COCHLEAR IMPLANT.  THE DEVICE IS INTENDED TO RESTORE A LEVEL OF AUDITORY SENSATION TO CHILDREN WITH PROFOUND SENSORINEURAL DEAFNESS VIA ELECTRICAL STIMULATION OF THE AUDITORY NERVE.  CLARION IS INDICATED FOR THE FOLLOWING: 1)CHILDREN, 2 THROUGH 17 YEARS OF AGE.  IF X-RAYS DEMONSTRATE EVIDENCE OF OSSIFICATION, CHILDREN AS YOUNG AS 18 MONTHS MAY BE IMPLANTED; 2)PROFOUND, BILATERAL SENSORINEURAL DEAFNESS; 3)UNDERGONE OR BE WILLING TO UNDERGO A HEARING AID TRAIL WITH APPROPRIATELY FITTED HEARING AIDS; 4)LACK OF BENEFIT FROM APPROPRIATELY FITTING HEARING AIDS.  IN YOUNGER CHILDREN, LACK OF BENEFIT WITH HEARING AIDS IS DEFINED AS FAILURE TO ATTAIN BASIC AUDITORY MILESTONES SUCH AS A CHILD'S INCONSISTENT RESPONSE TO HIS/HER NAME IN QUIET OR TO ENVIRONMENTAL SOUNDS (MEANINGFUL AUDITORY INTEGRATION SCALE).  IN OLDER CHILDREN, LACK OF AIDED BENEFIT IS DEFINED AS SCORING 0% ON OPEN-SET WORD RECOGNITION (PHONETICALLY BALANCED KINDERGARTEN TEST - WORD LIST) ADMINISTERED WITH MONITORED LIVE-VOICE (70 DB SPL).  BOTH YOUNGER AND OLDER CHILDREN SHOULD DEMONSTRATE ONLY MINIMAL ABILITY ON AGE APPROPRIATE OPEN-SET SENTENCE MEASURES AND A PLATEAU IN AUDITORY DEVELOPMENT.","Implant, Cochlear",Unknown,,3
P930016,S006,"AMO Manufacturing USA, LLC",510 Cottonwood Drive,,Milpitas,CA,95035,,Excimer laser system,VISX STAR S2 EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Real-Time Process,Change Design/Components/Specifications/Material,N,1998-02-26,1998-03-20,,,APPR,"Approval for for 1)laser removal of the epithelium; 2)visibility upgrade; 3)swivel mounted vacuum nozzle; 4)integrated hardware module with all unapproved indications ""locked out""; 5)variable Hertz rate from 1.5 to 10 Hertz; 6)smoothing; 7)installation of software Version 2.2 with all unapproved indications ""locked out""; and, 8)revised Operator's Manual.  The device as modified will be marketed under the trade name VISX START S2 Excimer Laser System and is indicated for myopic and astigmatic PRK using an ablation zone with a 6.0mm major axis.  The PRK procedure is intended for use:  1)in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5D (in both cylinder and sphere components) per year for at least one year prior to the date of the pre-operative examination; and 2)in patient 18-20 years of age in PRK treatment for the reduction or elimination of myopia (nearsightedness) of less than or equal to -6.0D sphereical equivalent at the corneal plane with less than or equal to -1.0D of astigmatism; or 3)in patients 21 years of age or older in PRK treatments for the reduction or elimination of myopia (nearsightedness) of between 0 and -12.0D spherical myopia at the spectacle plane and up to -4.0D of astigmatism.",Excimer Laser System,Unknown,,3
P020050,S005,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,TX,76134,2099,Excimer laser system,WAVELIGHT ALLEGRETTO WAVE EYE-Q EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2006-12-19,2007-04-09,,,APPR,"APPROVAL FOR A CHANGE IN THE REPETITION RATE FROM 200 HZ TO 400 HZ.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME ALLEGRETTO WAVE EYE-Q EXCIMER LASER SYSTEM AND IS INDICATED FOR LASER ASSISTED IN SITU KERATOMILEUSIS (LASIK) FOR: 1) THE REDUCTION OR ELIMINATION OF NATURALLY OCCURRING MIXED ASTIGMATISM OF UP TO 6.00 DIOPTERS (D) AT THE SPECTACLE PLANE IN PATIENTS WHO ARE 21 YEARS OF AGE OR OLDER WITH DOCUMENTATION OF A STABLE MANIFEST REFRACTION DEFINED AS <=0.50 D OF PREOPERATIVE SPHERICAL EQUIVALENT SHIFT OVER ONE YEAR PRIOR TO SURGERY; AND 2) THE WAVEFRONT-GUIDED (WFG) REDUCTION OR ELIMINATION OF UP TO -7.00 DIOPTERS (D) OF SPHERICAL EQUIVALENT MYOPIA OR MYOPIA WITH ASTIGMATISM, WITH UP TO -7.00 D OF SPHERICAL COMPONENT AND UP TO 3.00 D OF ASTIGMATIC COMPONENT AT THE SPECTACLE PLANE IN PATIENTS WHO ARE 18 YEARS OF AGE OR OLDER WITH DOCUMENTATION OF A STABLE MANIFEST REFRACTION DEFINED AS <=0.50 D OF PREOPERATIVE SPHERICAL SHIFT OVER ONE YEAR PRIOR TO SURGERY.",Excimer Laser System,Unknown,,3
P120005,S031,"DEXCOM, INC.",6340 SEQUENCE DR,,SAN DIEGO,CA,92121,,"Sensor, glucose, invasive",DEXCOM G4 PLATINUM (PEDIATRIC) CONTINUOUS GLUCOSE MONITORING SYSTEM,MDS,CH,Clinical Chemistry,Panel Track,Change Design/Components/Specifications/Material,N,2014-11-26,2015-05-22,15M-1959,2015-06-11,APPR,"APPROVAL FOR THE DEXCOM G4¿ PLATINUM (PEDIATRIC) CONTINUOUS GLUCOSE MONITORING SYSTEM. THIS DEVICE IS A GLUCOSE MONITORING DEVICE INDICATED FOR DETECTING TRENDS AND TRACKING PATTERNS IN PERSONS AGES 2 TO 17 YEARS WITH DIABETES. THE SYSTEM IS INTENDED FOR SINGLE PATIENT USE AND REQUIRES A PRESCRIPTION. THE DEXCOM G4 PLATINUM (PEDIATRIC) SYSTEM IS INDICATED FOR USE AS AN ADJUNCTIVE DEVICE TO COMPLEMENT, NOT REPLACE, INFORMATION OBTAINED FROM STANDARD HOME GLUCOSE MONITORING DEVICES. THE DEXCOM G4 PLATINUM (PEDIATRIC) SYSTEM AIDS IN THE DETECTION OF EPISODES OF HYPERGLYCEMIA AND HYPOGLYCEMIA, FACILITATING BOTH ACUTE AND LONG-TERM THERAPY ADJUSTMENTS, WHICH MAY MINIMIZE THESE EXCURSIONS. INTERPRETATION OF THE DEXCOM G4 PLATINUM (PEDIATRIC) SYSTEM RESULTS SHOULD BE BASED ON THE TRENDS AND PATTERNS SEEN WITH SEVERAL SEQUENTIAL READINGS OVER TIME.","Sensor, Glucose, Invasive",Unknown,,3
P150024,,ASPIRE BARIATRICS INC,3200 HORIZON DRIVE,SUITE 100,King of Prussia,PA,19406,,Aspiration therapy system,AspireAssist,OYF,GU,"Gastroenterology, Urology",,,N,2015-07-08,2016-06-14,16m-1754,2016-06-14,APPR,Approval for the AspireAssist® is intended to assist in weight reduction of obese patients. It is indicated for use in adults aged 22 or older with a Body Mass Index (BMI) of 35.0-55.0 kg/m2 who have failed to achieve and maintain weight loss with non-surgical weight loss therapy. The AspireAssist is intended for a long-term duration of use in conjunction with lifestyle therapy and continuous medical monitoring.,Aspiration Therapy System,Unknown,,3
P960058,S079,ADVANCED BIONICS,28515 WESTINGHOUSE PLACE,,VALENCIA,CA,91355,,"Implant, cochlear",HARMONY HIRESOLUTION BIONIC EAR SYSTEM,MCM,EN,"Ear, Nose, Throat",Real-Time Process,Change Design/Components/Specifications/Material,N,2009-02-23,2009-03-18,,,APPR,"APPROVAL FOR THE HIRES 90K MOCK-UP AS STERILE INSTEAD OF NON-STERILE, AND TO ESTABLISH THE SHELF LIFE AT THREE YEARS.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME HARMONY HIRESOLUTION BIONIC EAR SYSTEM HIRES 90K MOCK-UP (MOCK-UP) AND IS INDICATED FOR INDIVIDUALS AGED TWELVE MONTHS AND OLDER WITH SEVERE-TO PROFOUND SENSORINEURAL HEARING LOSS VIA ELECTRICAL STIMULATION OF THE AUDITORY NERVE.","Implant, Cochlear",Unknown,,3
P040024,S056,Q-Med AB,SEMINARIEGATAN 21,,UPPSALA,,SE-75,752-,"Implant, dermal, for aesthetic use",RESTYLANE L INJECTABLE GEL,LMH,SU,"General, Plastic Surgery",Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2012-01-10,2012-08-30,12M-0968,2012-09-12,APPR,"APPROVAL FOR RESTYLANE L INJECTABLE GEL.  THIS DEVICE IS INDICATED FOR: 1) MID-TO-DEEP DERMAL IMPLANTATION FOR THE CORRECTION OF MODERATE TO SEVERE FACIAL WRINKLES AND FOLDS, SUCH AS NASOLABIAL FOLDS; AND 2) SUBMUCOSAL IMPLANTATION FOR LIP AUGMENTATION IN PATIENTS OVER THE AGE OF 21.","Implant, Dermal, For Aesthetic Use",Unknown,,3
P970053,S011,"NIDEK CO., LTD.","34-14 MAEHAMA, HIROISHI-CHO",,"GAMAGORI, AICHI",,443-0,0038,Excimer laser system,NIDEK 2000 EC-5000 EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2007-03-30,2013-09-30,13M-1362,2013-10-30,APPR,"APPROVAL  FOR THE NIDEK EC-5000 EXCIMER LASER SYSTEM. THIS DEVICE IS INDICATED FOR TOPOGRAPHY-ASSISTED LASER- ASSISTED IN-SITU KERATOMILEUSIS (LASIK) TREATMENT USING THE FINAL FIT¿ CUSTOM ABLATION TREATMENT PLANNING SOFTWARE FOR THE REDUCTION OR ELIMINATION OF MYOPIC REFRACTIVE ERRORS FROM -1.0 TO -4.0 D OF SPHERE WITH ASTIGMATIC REFRACTIVE ERRORS FROM >-0.5 TO -2.0 D AT THE SPECTACLE PLANE; IN PATIENTS 21 YEARS OF AGE OR OLDER; AND, IN PATIENTS WITH DOCUMENTED STABILITY OF MANIFEST REFRACTION OVER THE PRIOR YEAR, DEMONSTRATED BY A CHANGE IN MRSE NOT GREATER THAN ±0.5 D.",Excimer Laser System,Unknown,,3
P030040,S002,SIEMENS HEALTHCARE DIAGNOSTICS,333 CONEY STREET,,WALPOLE,MA,02032,1516,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ADVIA CENTAUR HBC IGM READYPACK REAGENTS AND ADVIA CENTAUR HBC IGM QUALITY CONTROL MATERIALS,LOM,MI,Microbiology,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2008-08-11,2009-10-20,,,APPR,"APPROVAL FOR THE TRANSITION OF THE ADVIA CENTAUR HBC IGM ASSAY TO A NEW PLATFORM IN THE CENTAUR FAMILY OF INSTRUMENTS, THE CENTAUR CP. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME ADVIA CENTAUR HBC IGM ASSAY AND IS INDICATED FOR:ADVIA CENTAUR HBC IGM READYPACK REAGENTS ON THE CENTAUR CP ANALYZER:THE ADVIA CENTAUR HBC IGM ASSAY IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVEDETERMINATION OF IGM RESPONSE TO HEPATITIS B VIRUS CORE ANTIGEN IN HUMAN SERUM ANDPLASMA (EDTA OR LITHIUM OR SODIUM HEPARINIZED) USING THE ADVIA CENTAUR CP SYSTEM.THE ASSAY USES RECOMBINANT HBC ANTIGEN. THIS ASSAY MAY BE USED IN COMBINATION WITHOTHER HEPATITIS B VIRUS (HBV) MARKER ASSAYS TO DEFINE THE CLINICAL STATUS OF KNOWN HBVINFECTED PATIENTS OR CAN BE COMBINED WITH OTHER HBV, HAV (HEPATITIS A VIRUS), AND HCV(HEPATITIS C VIRUS) ASSAYS FOR THE DIAGNOSIS OF PATIENTS PRESENTING SYMPTOMS OF ACUTE VIRAL HEPATITIS.  ASSAY PERFORMANCE CHARACTERISTICS HAVE NOT BEEN ESTABLISHED FOR IMMUNOCOMPRO-MISED ORIMMUNOSUPPRESSED PATIENTS, CORD BLOOD, NEONATAL SPECIMENS, INFANTS, OR CHILDREN.ASSAY PERFORMANCE CHARACTERISTICS HAVE NOT BEEN ESTABLISHED WHEN THE ADVIA CENTAUR HBC IGM ASSAY IS USED IN CONJUNCTION WITH OTHER MANUFACTURERS' ASSAYS FOR SPECIFIC HBV SEROLOGICAL MARKERS.ADVIA CENTAUR HBC IGM QUALITY CONTROL MATERIALS ON THE CENTAUR CP ANALYZER:FOR MONITORING THE PERFORMANCE OF THE HBC IGM ASSAY USING THE ADVIA CENTAURSYSTEMS. THE PERFORMANCE OF THE HBC IGM QUALITY CONTROL MATERIAL HAS NOT BEENESTABLISHED WITH ANY OTHER ANTI-HBC IGM ASSAYS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P930016,S010,"AMO Manufacturing USA, LLC",510 Cottonwood Drive,,Milpitas,CA,95035,,Excimer laser system,VISX STAR S2 AND S3 EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,Y,1999-06-18,2000-10-18,01M-0015,2001-01-22,APPR,THESE DEVICES ARE INDICATED FOR PHOTOREFRACTIVE KERATECTOMY (PRK) TREATMENTS:  IN PATIENTS WITH DOCUMENTED EVIDENCE OF A CHANGE IN MANIFEST REFRACTION OF LESS THAN OR EQUAL TO 0.5 D PER YEAR FOR AT LEAST ONE YEAR PRIOR TO THE DATE OF PRE-OPERATIVE EXAMINATION; ANDIN PATIENTS 21 YEARS OF AGE OR OLDER FOR THE REDUCTION OR ELIMINATION OF NATURALLY OCCURRING HYPEROPIA BETWEEN +0.5 AND + 5.0 D SPHERE AT THE SPECTACLE PLANE WITH REFRACTIVE ASTIGMATISM FROM +0.5 TO +4.0 D WITH A MAXIMUM MANIFEST REFRACTION SPHERICAL EQUIVALENT (MRSE) OF +6.0 D.,Excimer Laser System,Unknown,,3
P030040,,SIEMENS HEALTHCARE DIAGNOSTICS,333 CONEY STREET,,WALPOLE,MA,02032,1516,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)","ADVIA CENTAUR HBC IGM READYPACK REAGENTS, ADVIA CENTAUR  HBC IGM QUALITY CONTROL MATERIALS",LOM,MI,Microbiology,,,N,2003-09-11,2004-08-06,05M-0158,2005-05-02,APPR,"APPROVAL FOR THE ADVIA CENTAUR HBC IGM.  HBC IGM READY PACK REAGENTS: THIS DEVICE IS INDICATED FOR USE FOR THE ADVIA CENTAUR HBC IGM ASSAY AND IS AN IN VITRO  DIAGNOSTIC TEST FOR THE QUALITATIVE DETERMINATION IF IGM RESPONSE TO HEPATITIS B VIRUS CORE ANTIGEN IN HUMAN SERUM AND PLASMA (EDTA OR LITHIUM OR SODIUM HEPARINIZED) USING THE ADVIA CENTAUR SYSTEM.  THE ASSAY USES RECOMBINANT HBC ANTIGEN.  THIS ASSAY MAY BE USED IN COMBINATION WITH OTHER HEPATITIS B VIRUS (HBV) MARKET ASSAYS TO DEFINE THE CLINICAL STATUS OF KNOWN HBV INFECTED PATIENTS OR CAN BE COMBINED WITH OTHER HBV, HAV (HEPATITIS A VIRUS), AND HCV (HEPATITIS C VIRUS) ASSAYS FOR THE DIAGNOSIS OF PATIENTS PRESENTING SYMPTOMS OF ACUTE VIRAL HEPATITIS.  ASSAY PERFORMANCE CHARACTERISTICS HAVE NOT BEEN ESTABLISHED FOR IMMUNOCOMPRO-MISED OR IMMUNOSUPPRESSED PATIENTS, CORD BLOOD, NEONATAL SPECIMENS, INFANTS OR CHILDREN.  ASSAY PERFORMANCE CHARACTERISTICS HAVE NOT BEEN ESTABLISHED WHEN THE ADVIA CENTAUR HBC IGM ASSAY IS USED IN CONJUNCTION WITH OTHER MANUFACTURERS' ASSAYS FOR SPECIFIC HBV SEROLOGICAL MARKERS.  HBC IGM QUALITY CONTROL MATERIALS: THE CONTROLS ARE INDICATED FOR IN VITRO DIAGNOSTIC USE IN MONITORING THE PERFORMANCE OF THE HBC IGM ASSAY ON THE ADVIUA CENTAUR SYSTEMS.  THE PERFORMANCE OF THE HBC IGM QUALITY CONTROL MATERIAL HAS NOT BEEN ESTABLISHED WITH ANY OTHER ANTI-HBC IGM ASSAYS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P100044,,INTERSECT ENT,1555 ADAMS DR,,MENLO PARK,CA,94025,,Drug-eluting sinus stent,PROPEL,OWO,EN,"Ear, Nose, Throat",,,N,2010-12-06,2011-08-11,11M-0600,2011-08-19,APPR,"APPROVAL FOR THE PROPEL SINUS IMPLANT.  THIS DEVICE IS INDICATED FOR USE IN PATIENTS >= 18 YEARS OF AGE FOLLOWING ETHMOID SINUS SURGERY TO MAINTAIN PATENCY, THEREBY REDUCING THE NEED FOR POST-OPERATIVE INTERVENTION SUCH AS SURGICAL ADHESION LYSIS AND/OR USE OF ORAL STEROIDS.  THE PROPEL SINUS IMPLANT SEPARATES MUCOSAL TISSUES, PROVIDES STABILIZATION OF THE MIDDLE TURBINATE, PREVENTS OBSTRUCTION BY ADHESIONS, AND REDUCES EDEMA.",Drug-Eluting Sinus Stent,Unknown,,3
P930027,S004,SIEMENS HEALTHCARE DIAGNOSTICS INC.,"GLYN RHONWY, LLANBERIS",,GWYNEDD LL55 4EL,,LL554,,PROSTATE-SPECIFIC ANTIGEN (PSA) FOR MANAGEMENT OF PROSTATE CANCERS,"IMMULITE(R)PSA, IMMULITE(R) THIRD GENERATION PSA, IMMULITE(R) 2000",LTJ,IM,Immunology,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2001-01-02,2001-06-19,01M-0535,2001-12-05,APPR,"IMMULITE PSA, IMMULITE. THIRD GENERATION PSA, IMMULITE 2000 PSA, AND IMMULITE 2000 THIRD GENERATION PSA.  IMMULITE. PSA IS INDICATED FOR IN VITRO DIAGNOSTIC USE WITH THE IMMULITE ANALYZER FOR THE QUANTITATIVE MEASUREMENT OF PROSTATE-SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM, AS AN AID IN THE DETECTION OF PROSTATE CANCER WHEN USED IN CONJUNCTION WITH DIGITAL RECTAL EXAMINATION (DRE) IN MEN AGED 50 YEARS OR OLDER.  IMMULITE THIRD GENERATION PSA IS INDICATED FOR IN VITRO DIAGNOSTIC USE WITH THE IMMULITE ANALYZER FOR THE QUANTITATIVE MEASUREMENT OF PROSTATE-SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM, AS AN AID IN THE DETECTION OF PROSTATE CANCER WHEN USED IN CONJUNCTION WITH DIGITAL RECTAL EXAMINATION (DRE) IN MEN AGED 50 YEARS OR OLDER.  IMMULITE 2000 PSA IS INDICATED FOR IN VITRO DIAGNOSTIC USE WITH THE IMMULITE 2000 ANALYZER FOR THE QUANTITATIVE MEASUREMENT OF PROSTATE-SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM, AS AN AID IN THE DETECTION OF PROSTATE CANCER WHEN USED IN CONJUNCTION WITH DIGITAL RECTAL EXAMINATION (DRE) IN MEN AGED 50 YEARS OR OLDER.  IMMULITE 2000 THIRD GENERATION PSA IS INDICATED FOR IN VITRO DIAGNOSTIC USE WITH THE IMMULITE 2000 ANALYZER FOR THE QUANTITATIVE MEASUREMENT OF PROSTATE-SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM, AS AN AID IN THE DETECTION OF PROSTATE CANCER WHEN USED IN CONJUNCTION WITH DIGITAL RECTAL EXAMINATION (DRE) IN MEN AGED 50 YEARS OF OLDER.",Prostate-Specific Antigen (Psa) For Management Of Prostate Cancers,Immunology,866.6010,2
P100034,S013,Novocure GmbH,Park 6,,CH-6039 Root D4,,,,"Stimulator, low electric field, tumor treatment",OPTUNE (FORMERLY THE NOVOTTF-100A SYSTEM),NZK,NE,Neurology,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2015-04-10,2015-10-05,15M-4015,2015-11-02,APPR,"APPROVAL FOR THE OPTUNE (FORMERLY THE NOVOTTF-100A SYSTEM). THIS DEVICE IS INDICATED AS A TREATMENT FOR ADULT PATIENTS (22 YEARS OF AGE OR OLDER) WITH HISTOLOGICALLY-CONFIRMED GLIOBLASTOMA MULTIFORME (GBM). OPTUNE WITH TEMOZOLOMIDE IS INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH NEWLY DIAGNOSED, SUPRATENTORIAL GLIOBLASTOMA FOLLOWING MAXIMAL DEBULKING SURGERY AND COMPLETION OF RADIATION THERAPY TOGETHER WITH CONCOMITANT STANDARD OF CARE CHEMOTHERAPY. OPTUNE WAS PREVIOUSLY APPROVED IN 2011 FOR THE TREATMENT OF RECURRENT GBM WITH THE FOLLOWING INDICATIONS FOR USE (IFU): OPTUNE IS INDICATED FOLLOWING HISTOLOGICALLY-OR RADIOLOGICALLY-CONFIRMED RECURRENCE IN THE SUPRA-TENTORIAL REGION OF THE BRAIN AFTER RECEIVING CHEMOTHERAPY. THE DEVICE IS INTENDED TO BE USED AS A MONOTHERAPY, AND IS INTENDED AS AN ALTERNATIVE TO STANDARD MEDICAL THERAPY FOR GBM AFTER SURGICAL AND RADIATION OPTIONS HAVE BEEN EXHAUSTED.","Stimulator, Low Electric Field, Tumor Treatment",Unknown,,3
